feature	Actinobacteria	Bacteroidetes	Cyanobacteria	Euryarchaeota	Firmicutes	Fusobacteria	Proteobacteria	Synergistetes	Tenericutes	Verrucomicrobia
LLM.2014.02.17	-8.80383758173537	-1.35225179257568	NA	-9.9413411054853	-1.47007234131172	-6.92341919748804	-2.50587919100602	-8.35637860476414	-7.26326920037266	-4.31490196878798
LLM.2014.03.23	-10.2673719312653	-1.58306162014092	NA	-9.94544383637791	-1.30664593642622	-13.2673719312653	-2.22229487933033	-10.6824094305441	-7.59494658929378	-4.6453201118089
LLM.2014.05.04	-8.3527055668799	-1.82601072133793	NA	-7.93766806760106	-1.30576348034314	-8.93766806760106	-1.94728041579832	-8.73603420643141	-8.40161516736085	-4.65596981750223
LLM.2014.06.16	-10.0986169988578	-1.1920603990931	-7.59611665832863	NA	-1.65015649804152	-12.2685420003001	-2.43644315426099	-11.2685420003001	-8.51365449813665	-4.33485134534789
LLM.2014.07.24	-9.26664015593085	-1.35974956032233	-6.56620043778976	-9.94471206104349	-1.15811569915268	-9.68167765520969	-4.29509660198008	-10.0967151544885	-7.87432273315209	-3.44646119351566
LLM.2014.08.22	-7.58466780251956	-2.29058769258532	-8.04763977886211	-8.93516504960369	-0.549949742510149	NA	-3.51225930699151	-13.2570931444911	-9.08716814304874	-6.38672842490765
LLM.2014.08.25	-6.60659028037053	-1.48060862651581	-12.2504464701453	-7.60659028037053	-1.07302693215602	-10.9285183752579	-4.49222325541853	-8.6654839694241	-8.0409931045163	-3.32860553307076
LLM.2014.09.28	-9.68781306256493	-1.59373537689303	-7.39013251392425	-9.95084746839872	-1.1204907209795	-13.2727755632861	-2.35242270787101	-13.2727755632861	-10.1028505618438	-8.10285056184378
LLM.2014.11.16	-9.95623093654988	-1.6226283082816	-8.95623093654988	-9.95623093654988	-1.02874924616811	-8.69319653071608	-2.5207690220706	NA	-9.03023151799365	-8.63430284166251
LLM.2014.12.07	-8.61441538650813	-1.74257173799881	-7.08834657484054	-8.93634348139549	-0.759173135053973	-12.2582715762829	-3.66768452636782	-11.2582715762829	-8.86595415350409	-5.88323214493593
LLM.2014.12.17	-9.36150519794804	-1.0678036558673	-7.36150519794804	NA	-1.45983376359903	-9.56795607541547	-2.83689818929851	-12.2683957935566	-8.62453960378183	-7.00160925286166
LLM.2015.01.06	-8.8709517775939	-1.27316523651516	-10.6783066996515	-9.9413411054853	-1.56760590358464	-8.73970724431565	-2.92008348492478	-12.2632692003727	-9.56282948223157	-3.19583483961614
LLM.2015.01.14	-8.44988557905897	-1.60663747890127	-7.97183828225433	-8.93531240622921	-1.13635465832879	-10.9353124062292	-3.40861756068724	-9.93531240622921	-8.04778713548763	-3.20603156020181
LLM.2015.01.25	-8.68868742322254	-2.02572241050011	-8.31945361355682	-8.36675932833517	-1.10466448296499	-10.2736499239437	-5.04003024718399	-9.46629500188609	-7.88133250116493	-2.03524518461861
LLM.2015.02.08	-9.09920167770711	-1.68604391164648	-8.3622360835409	-8.94719858426206	-0.833977340782488	-11.2691266791494	-3.99533107993515	-10.0992016777071	-9.3622360835409	-4.16321817057826
LLM.2015.02.23	-8.46235619908518	-2.00292458044788	-8.74614916508577	-8.94778302625542	-0.677020505789372	NA	-3.18490273333842	-12.2697111211428	-9.18224827989244	-7.38706807178094
LLM.2015.03.08	-7.82846863454458	-1.66274362163155	-13.2547333892467	-7.82846863454458	-0.964426492988772	-13.2547333892467	-3.05874609121817	-9.08480838780436	-10.6697708885255	-4.63634788698807
LLM.2015.03.24	-8.93014594790882	-1.91835961670221	-9.44471912073858	-8.08214904135387	-0.892050023224308	-8.25207404279618	-4.64104924548883	-8.39409304766861	-8.44471912073858	-2.83422152791029
LLM.2015.04.04	-7.3405919391524	-2.4563196462059	-8.20308841540246	-8.3405919391524	-0.456930396955536	NA	-4.02831401429876	-11.2474825347609	-8.66252003403976	-6.32861929748632
LLM.2015.04.19	-9.45620771776301	-2.17543694763241	-9.0936376383783	-8.87124521704185	-1.1566725947284	-6.29777835515853	-3.26920920296176	-8.67860013909946	-8.7400006837636	-2.29705718791487
LLM.2015.05.03	-7.67683860647415	-2.2688627710295	-9.67683860647415	-8.93987301230795	-0.610525133848671	-9.93987301230795	-3.51864971308281	-11.6768386064742	-9.56136138905422	-4.66188826500818
LLM.2015.05.31	-9.35285266808226	-2.03876041260901	-13.2597432636908	-9.45238834163318	-0.859130622608782	-10.4523883416332	-3.16698612277093	-10.9378151688034	-9.55930354554969	-3.49985508046895
LLM.2015.06.14	-7.6663719639377	-2.00697062953835	-10.6663719639377	-7.60747827488413	-0.778643625416077	-8.55089474651776	-4.26549252765552	-10.9294063697715	-7.6663719639377	-3.35803293379829
LLM.2015.07.08	-9.10372492250138	-1.4211204145395	-10.6886874232225	-9.95172182905633	-1.07030192096393	-10.4662950018861	-3.77979447470287	-13.2736499239437	-12.2736499239437	-3.77380403686049
LLM.2015.07.09	-9.95535930524299	-0.807136964855998	-11.6923248994092	NA	-1.53245356263081	-11.2772874001304	-3.76158756184631	NA	NA	-7.08746284125034
